date,open,high,low,close,volume
2018-08-03,51.757,52.185,51.37,51.998,133789600
2018-08-06,52.0,52.312,51.768,52.268,101701600
2018-08-07,52.33,52.375,51.69,51.778,102349600
2018-08-08,51.513,51.952,51.13,51.812,90102000
2018-08-09,52.382,52.445,51.8,52.22,93970400
2018-08-10,51.84,52.275,51.667,51.882,98444800
2018-08-13,52.327,52.737,51.925,52.217,103563600
2018-08-14,52.54,52.64,52.065,52.438,82992000
2018-08-15,52.305,52.685,52.083,52.56,115230400
2018-08-16,52.938,53.452,52.868,53.33,114001600
2018-08-17,53.36,54.487,53.29,54.395,141708000
2018-08-20,54.525,54.795,53.778,53.865,121150800
2018-08-21,54.2,54.298,53.507,53.76,104639200
2018-08-22,53.525,54.09,53.46,53.763,76072400
2018-08-23,53.662,54.263,53.65,53.873,75532800
2018-08-24,54.15,54.225,53.778,54.04,73905600
2018-08-27,54.287,54.685,54.083,54.485,82100400
2018-08-28,54.752,55.135,54.73,54.925,91107200
2018-08-29,55.037,55.873,54.853,55.745,109019200
2018-08-30,55.812,57.065,55.6,56.257,195175200
2018-08-31,56.627,57.217,56.5,56.908,173360400
2018-09-04,57.103,57.295,56.658,57.09,109560400
2018-09-05,57.248,57.417,56.275,56.717,133332000
2018-09-06,56.557,56.838,55.325,55.775,137160000
2018-09-07,55.463,56.342,55.178,55.325,150479200
2018-09-10,55.237,55.463,54.118,54.583,158066000
2018-09-11,54.502,56.075,54.14,55.963,142996000
2018-09-12,56.235,56.25,54.96,55.268,197114800
2018-09-13,55.88,57.088,55.643,56.603,166825600
2018-09-14,56.438,56.71,55.63,55.96,127997200
2018-09-17,55.537,55.737,54.318,54.47,148780400
2018-09-18,54.447,55.463,54.28,54.56,126286800
2018-09-19,54.625,54.905,53.825,54.592,108495200
2018-09-20,55.06,55.57,54.787,55.007,106435200
2018-09-21,55.195,55.34,54.322,54.415,384986800
2018-09-24,54.205,55.315,54.158,55.197,110773600
2018-09-25,54.938,55.705,54.925,55.548,98217600
2018-09-26,55.25,55.938,54.94,55.105,95938800
2018-09-27,55.955,56.61,55.885,56.237,120724800
2018-09-28,56.197,56.46,56.005,56.435,91717600
2018-10-01,56.987,57.355,56.588,56.815,94403200
2018-10-02,56.812,57.5,56.658,57.32,99152800
